"행정구역(시군구)별","시점",총인구수 (명),총인구수 (명),총인구수 (명)
"행정구역(시군구)별","시점",원데이터,전년 대비 증감,증감률
"전국","2022",51439038,-199771,-0.4
"서울특별시","2022",9428372,-81086,-0.9
"부산광역시","2022",3317812,-32568,-1.0
"대구광역시","2022",2363691,-21721,-0.9
"인천광역시","2022",2967314,18939,0.6
"광주광역시","2022",1431050,-10561,-0.7
"대전광역시","2022",1446072,-6179,-0.4
"울산광역시","2022",1110663,-10929,-1.0
"세종특별자치시","2022",383591,11696,3.1
"경기도","2022",13589432,23982,0.2
"강원도","2022",1536498,-1994,-0.1
"충청북도","2022",1595058,-2369,-0.1
"충청남도","2022",2123037,3780,0.2
"전라북도","2022",1769607,-17248,-1.0
"전라남도","2022",1817697,-15106,-0.8
"경상북도","2022",2600492,-26117,-1.0
"경상남도","2022",3280493,-33690,-1.0
"제주특별자치도","2022",678159,1400,0.2
